entry_number,pdf_link,image_link,team,timeattack_rank,total_time,run_time,gimmick_bonus
1_16,assets/slides/bumon_seigenmuseigen/1_16.pdf,assets/images/bumon_seigenmuseigen/1_16.webp,村山 智洋,0,0,0,0
1_17,assets/slides/bumon_seigenmuseigen/1_17.pdf,assets/images/bumon_seigenmuseigen/1_17.webp,八木 悠斗,0,0,0,0
1_18,assets/slides/bumon_seigenmuseigen/1_18.pdf,assets/images/bumon_seigenmuseigen/1_18.webp,金島 健太郎,0,0,0,0
1_19,assets/slides/bumon_seigenmuseigen/1_19.pdf,assets/images/bumon_seigenmuseigen/1_19.webp,長山 剛広,0,0,0,0
1_20,assets/slides/bumon_seigenmuseigen/1_20.pdf,assets/images/bumon_seigenmuseigen/1_20.webp,廣澤 聡太,0,0,0,0
1_21,NA,NA,noentry,0,0,0,0
1_22,assets/slides/bumon_seigenmuseigen/1_22.pdf,assets/images/bumon_seigenmuseigen/1_22.webp,伊豆 幸一郎,0,0,0,0
1_23,assets/slides/bumon_seigenmuseigen/1_23.pdf,assets/images/bumon_seigenmuseigen/1_23.webp,川井 晨傑,0,0,0,0
1_24,assets/slides/bumon_seigenmuseigen/1_24.pdf,assets/images/bumon_seigenmuseigen/1_24.webp,リケジョA(関東),0,0,0,0
1_25,assets/slides/bumon_seigenmuseigen/1_25.pdf,assets/images/bumon_seigenmuseigen/1_25.webp,リケジョB(東海),0,0,0,0
1_26,assets/slides/bumon_seigenmuseigen/1_26.pdf,assets/images/bumon_seigenmuseigen/1_26.webp,SUBARU,0,0,0,0
1_27,assets/slides/bumon_seigenmuseigen/1_27.pdf,assets/images/bumon_seigenmuseigen/1_27.webp,豊西A（科学部１年生）,0,0,0,0
1_28,assets/slides/bumon_seigenmuseigen/1_28.pdf,assets/images/bumon_seigenmuseigen/1_28.webp,海陽学園A,0,0,0,0
1_29,assets/slides/bumon_seigenmuseigen/1_29.pdf,assets/images/bumon_seigenmuseigen/1_29.webp,海陽学園B,0,0,0,0
2_1,assets/slides/bumon_seigenmuseigen/2_1.pdf,assets/images/bumon_seigenmuseigen/2_1.webp,東松 信幸,0,0,0,0
2_2,assets/slides/bumon_seigenmuseigen/2_2.pdf,assets/images/bumon_seigenmuseigen/2_2.webp,柳ヶ瀬 大將,0,0,0,0
2_3,assets/slides/bumon_seigenmuseigen/2_3.pdf,assets/images/bumon_seigenmuseigen/2_3.webp,松本 将生,0,0,0,0
2_4,assets/slides/bumon_seigenmuseigen/2_4.pdf,assets/images/bumon_seigenmuseigen/2_4.webp,松本 大河,0,0,0,0
2_5,assets/slides/bumon_seigenmuseigen/2_5.pdf,assets/images/bumon_seigenmuseigen/2_5.webp,田中 裕貴,0,0,0,0
2_6,assets/slides/bumon_seigenmuseigen/2_6.pdf,assets/images/bumon_seigenmuseigen/2_6.webp,川下 勇輝,0,0,0,0
2_7,assets/slides/bumon_seigenmuseigen/2_7.pdf,assets/images/bumon_seigenmuseigen/2_7.webp,中川 弘視,0,0,0,0
2_8,assets/slides/bumon_seigenmuseigen/2_8.pdf,assets/images/bumon_seigenmuseigen/2_8.webp,落合 達矢,0,0,0,0
2_9,assets/slides/bumon_seigenmuseigen/2_9.pdf,assets/images/bumon_seigenmuseigen/2_9.webp,佐々木 輝,0,0,0,0
2_10,assets/slides/bumon_seigenmuseigen/2_10.pdf,assets/images/bumon_seigenmuseigen/2_10.webp,酒井 正祈,0,0,0,0
2_11,assets/slides/bumon_seigenmuseigen/2_11.pdf,assets/images/bumon_seigenmuseigen/2_11.webp,川地 貴大,0,0,0,0
2_12,assets/slides/bumon_seigenmuseigen/2_12.pdf,assets/images/bumon_seigenmuseigen/2_12.webp,中田 貴丈,0,0,0,0
2_13,assets/slides/bumon_seigenmuseigen/2_13.pdf,assets/images/bumon_seigenmuseigen/2_13.webp,水澤 和哉,0,0,0,0
2_14,assets/slides/bumon_seigenmuseigen/2_14.pdf,assets/images/bumon_seigenmuseigen/2_14.webp,諏訪 凌太,0,0,0,0
2_15,assets/slides/bumon_seigenmuseigen/2_15.pdf,assets/images/bumon_seigenmuseigen/2_15.webp,川名 健太,0,0,0,0
2_16,assets/slides/bumon_seigenmuseigen/2_16.pdf,assets/images/bumon_seigenmuseigen/2_16.webp,近藤 弘望,0,0,0,0
2_17,assets/slides/bumon_seigenmuseigen/2_17.pdf,assets/images/bumon_seigenmuseigen/2_17.webp,深谷 隆志,0,0,0,0
2_18,assets/slides/bumon_seigenmuseigen/2_18.pdf,assets/images/bumon_seigenmuseigen/2_18.webp,豊西科学部（２年生）,0,0,0,0
2_19,assets/slides/bumon_seigenmuseigen/2_19.pdf,assets/images/bumon_seigenmuseigen/2_19.webp,海陽学園B,0,0,0,0
2_20,assets/slides/bumon_seigenmuseigen/2_20.pdf,assets/images/bumon_seigenmuseigen/2_20.webp,ラジコン愛好家 松浦さん,0,0,0,0
2_21,assets/slides/bumon_seigenmuseigen/2_21.pdf,assets/images/bumon_seigenmuseigen/2_21.webp,永山さん（Fabo基板作成者）,0,0,0,0
2_22,assets/slides/bumon_seigenmuseigen/2_22.pdf,assets/images/bumon_seigenmuseigen/2_22.webp,デンソー松本さん,0,0,0,0
2_23,assets/slides/bumon_seigenmuseigen/2_23.pdf,assets/images/bumon_seigenmuseigen/2_23.webp,刈谷工科高校,0,0,0,0
2_24,NA,NA,noentry,0,0,0,0
2_25,assets/slides/bumon_seigenmuseigen/2_25.pdf,assets/images/bumon_seigenmuseigen/2_25.webp,dSpace Japan 小林　弘一,0,0,0,0
2_26,assets/slides/bumon_seigenmuseigen/2_26.pdf,assets/images/bumon_seigenmuseigen/2_26.webp,神奈川工科大学,0,0,0,0
2_27,assets/slides/bumon_seigenmuseigen/2_27.pdf,assets/images/bumon_seigenmuseigen/2_27.webp,会津大学,0,0,0,0
2_28,assets/slides/bumon_seigenmuseigen/2_28.pdf,assets/images/bumon_seigenmuseigen/2_28.webp,ダイハツ,0,0,0,0
2_29,assets/slides/bumon_seigenmuseigen/2_29.pdf,assets/images/bumon_seigenmuseigen/2_29.webp,名城大学,0,0,0,0
2_30,assets/slides/bumon_seigenmuseigen/2_30.pdf,assets/images/bumon_seigenmuseigen/2_30.webp,FaBo,0,0,0,0
2_31,assets/slides/bumon_seigenmuseigen/2_31.pdf,assets/images/bumon_seigenmuseigen/2_31.webp,ブリヂストン,0,0,0,0
2_32,assets/slides/bumon_seigenmuseigen/2_32.pdf,assets/images/bumon_seigenmuseigen/2_32.webp,SUBARU,0,0,0,0
